Canonical Title,LearnNatively Level,LearnNatively JLPT,LearnNatively URL,jpdb Difficulty,jpdb URL,Netflix Alias,Crunchyroll Alias,Notes
"Classroom of the Elite",19,N3,https://learnnatively.com/,11,https://jpdb.io/,"CLASSROOM OF THE ELITE","CLASSROOM OF THE ELITE","School thriller"
"ReZero",21,N3,https://learnnatively.com/,15,https://jpdb.io/,"RE:ZERO","RE:ZERO","Fantasy time loop"
"Overlord",20,N3,https://learnnatively.com/,14,https://jpdb.io/,"OVERLORD","OVERLORD","Fantasy dark"
"That Time I Got Reincarnated as a Spider",18,N3,https://learnnatively.com/,10,https://jpdb.io/,"THAT TIME I GOT REINCARNATED AS A SPIDER","","Fantasy isekai"
"Sword Art Online",17,N3,https://learnnatively.com/,9,https://jpdb.io/,"SWORD ART ONLINE","SWORD ART ONLINE","Sci-fi VR adventure"
"Log Horizon",19,N3,https://learnnatively.com/,12,https://jpdb.io/,"LOG HORIZON","","Fantasy VR"
"Made in Abyss",22,N3,https://learnnatively.com/,16,https://jpdb.io/,"MADE IN ABYSS","MADE IN ABYSS","Adventure fantasy"
"Dr. Stone",19,N3,https://learnnatively.com/,11,https://jpdb.io/,"DR. STONE","DR. STONE","Sci-fi adventure"
"The God of High School",16,N4,https://learnnatively.com/,7,https://jpdb.io/,"THE GOD OF HIGH SCHOOL","","Action webtoon"
"Vinland Saga",25,N2,https://learnnatively.com/,21,https://jpdb.io/,"VINLAND SAGA","VINLAND SAGA","Historical adventure"
"Ergo Proxy",27,N2,https://learnnatively.com/,24,https://jpdb.io/,"ERGO PROXY","","Sci-fi noir"
"Psycho-Pass",24,N2,https://learnnatively.com/,20,https://jpdb.io/,"PSYCHO-PASS","PSYCHO-PASS","Sci-fi thriller"
"Monster",26,N2,https://learnnatively.com/,23,https://jpdb.io/,"MONSTER","MONSTER","Thriller mystery"
"Parasyte",23,N2,https://learnnatively.com/,19,https://jpdb.io/,"PARASYTE","PARASYTE","Sci-fi horror"
